"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Shivangi Agarwal","M/S SHANTI PRABHAT ICE & COLD STORAGE","6869226","Village-NABIKOTA NANDAN,LUCKNOW SITAPUR ROAD, GATA NO-37,50,65S &66 BAKSHI KA TALAB","Lucknow","UTTAR PRADESH","5675","22-Feb-2024","21-Nov-2028","9648876000","Active",""
"SHRI ANANDESWARA COLD STORAGE PVT LTD","Shri Anandeshwara cold storage private ltd","6715502","ARAZI NO-568 Tiwaripur Salempur,Tehsil-Narwal,","Kanpur Nagar","UTTAR PRADESH","6967","08-May-2023","07-May-2028","9336837769","Suspended",""
"Shri Gupti Sagar Cold Storage","Shri Gupti Sagar Cold Storage","6709562","Muzaffar nagar Road,","Muzaffarnagar","UTTAR PRADESH","2003","17-Apr-2023","16-Apr-2028","9997313309","Suspended",""
"SHRIVIDHYASAGAR WAREHOUSE LLP","SHRIVIDHYASAGAR WAREHOUSE LLP","6989198","Near Amarpur Naveen Galla Mandi, Jhansi Highway Road, Gram Ronda,Lalitpur,","Lalitpur","UTTAR PRADESH","11957","28-Oct-2024","27-Oct-2029","7376999901","Active",""
"SR FOOD CHAIN","SR FOOD CHAIN","6671945","Vill-Chackbhitara near bantara,sitapur road,","Shahjahanpur","UTTAR PRADESH","4842","11-Jan-2023","10-Jan-2028","7080804016","Active",""
"STEINWEG-SHARAF INDIA PRIVATE LIMITED","Steinweg Sharaf India Pvt Ltd C/O Gupta Suppliers Company Warehouse","6584106","Khasra No. 137 Village Badagaon, Teshsil Nawabaganj Barabanki","Bara Banki","UTTAR PRADESH","1406","29-May-2022","28-May-2027","9907489205","Active",""
"SVC INDUSTRIES LIMITED","SVC Warehouse","6541445","SVC Industries Limited,1, BARSANA ROAD,,","Mathura","UTTAR PRADESH","1308","16-Nov-2021","15-Nov-2026","9758674589","Active",""
"Unnao Ice and Cold Storage","Unnao Ice and Cold Storage","6922595","Gram Post Banthar,Near UPSIDC Industrial Area,Unnao,","Unnao","UTTAR PRADESH","5462","26-Apr-2024","25-Apr-2029","9415045688","Active",""
"UP. COOPERATIVE FEDERATION LIMITED","TILAURA PAALI","6962468","GORAKHPUR,","Gorakhpur","UTTAR PRADESH","600","29-Jul-2024","28-Jan-2029","8765984490","Active",""
"UP. COOPERATIVE FEDERATION LIMITED","MOTIGANJ GODAM GONDA","6957245","MOTIGANJ, MANKAPUR","Gonda","UTTAR PRADESH","1800","11-Jul-2024","10-Jan-2029","8765984433","Active",""
"UP. COOPERATIVE FEDERATION LIMITED","Pcf Mujaffarnagar Begrajpur khautauli","6958862","BEGRAJPUR,","Muzaffarnagar","UTTAR PRADESH","6000","15-Jul-2024","14-Jan-2029","8765984974","Active",""
